id,iridium_packet_id,flag,time,bmp_press,bmp_temp,ds_temp,accx,accy,accz,cdm_conc,mq7_conc,geiger_ticks,height,latitude,longitude,has_fix
1,1,f4,910995,98911.0,35.45,30.5,1.12000000476837,0.0520000010728836,0.0320000015199184,601,103,4029182413,175.800003051758,55.9258951822,37.81242675781,1
2,1,f4,912009,98913.0,35.38,30.5,1.05599999427795,0.0200000014156103,-0.0400000028312206,601,112,4029182413,175.699996948242,55.9258951822,37.81242675781,1
3,1,f4,913024,98915.0,35.37,30.5,1.04000008106232,-0.0200000014156103,-0.00800000037997961,601,112,4029182413,175.600006103516,55.9258951822,37.81242675781,1
4,1,f4,914040,98915.0,35.38,30.5,1.08000004291534,-0.00400000018998981,-0.0520000010728836,601,103,4029182413,175.399993896484,55.9258951822,37.81242675781,1
5,1,f4,915054,98911.0,35.38,30.4375,1.06800007820129,0.0120000001043081,-0.0480000004172325,601,103,4029182413,175.199996948242,55.9258951822,37.81242675781,1
6,1,f4,916071,98915.0,35.4,30.5,1.06000006198883,0.0240000002086163,-0.0360000021755695,601,103,4029182413,175.199996948242,55.9258951822,37.81242675781,1
7,1,f4,917088,98914.0,35.41,30.5,1.06800007820129,-0.0120000001043081,-0.0440000034868717,601,112,4029182413,175.300003051758,55.9258951822,37.81242675781,1
8,2,f4,949769,98909.0,34.91,29.875,1.06000006198883,-0.00400000018998981,-0.0320000015199184,601,112,4029182413,169.0,55.9259114,37.81237792968,1
9,2,f4,949844,98913.0,34.92,29.875,1.04800009727478,0.00400000018998981,-0.0200000014156103,601,103,4029182413,169.0,55.9259114,37.81237792968,1
10,2,f4,949867,98913.0,34.91,29.875,1.04800009727478,0.00400000018998981,0.0240000002086163,601,103,4029182413,169.0,55.9259114,37.81237792968,1
11,2,f4,949891,98915.0,34.92,29.875,1.0440000295639,0.0480000004172325,-0.100000001490116,601,103,4029182413,169.0,55.9259114,37.81237792968,1
12,2,f4,949914,98911.0,34.91,29.875,1.07200002670288,0.0200000014156103,-0.0320000015199184,601,103,4029182413,169.0,55.9259114,37.81237792968,1
13,2,f4,949937,98913.0,34.91,29.875,1.05599999427795,-0.00400000018998981,-0.0520000010728836,601,103,4029182413,169.0,55.9259114,37.81237792968,1
14,2,f4,949961,98913.0,34.91,29.875,1.06000006198883,0.0160000007599592,-0.00400000018998981,601,103,4029182413,169.0,55.9259114,37.81237792968,1
15,3,f4,950792,98913.0,34.84,29.9375,1.06000006198883,-0.0160000007599592,-0.0160000007599592,601,103,4029182413,168.600006103516,55.9259114,37.81237792968,1
16,3,f4,951808,98913.0,34.83,29.875,1.15200006961823,-0.00400000018998981,0.0360000021755695,601,112,4029182413,168.5,55.9259114,37.81237792968,1
17,3,f4,952822,98911.0,34.83,29.875,1.05599999427795,0.0160000007599592,-0.0280000008642673,601,103,4029182413,168.100006103516,55.9259114,37.81237792968,1
18,3,f4,953837,98914.0,34.83,29.8125,1.0,-0.0200000014156103,-0.0400000028312206,601,112,4029182413,167.800003051758,55.9259114,37.81237792968,1
19,3,f4,954852,98913.0,34.85,29.875,1.04000008106232,-0.0160000007599592,-0.0320000015199184,601,112,4029182413,167.399993896484,55.9259114,37.81237792968,1
20,3,f4,955865,98917.0,34.86,29.875,1.09600007534027,0.100000001490116,-0.112000003457069,601,103,4029182413,167.399993896484,55.9259114,37.812373860677,1
21,3,f4,956012,98916.0,34.88,29.875,1.14400005340576,0.0400000028312206,0.244000017642975,601,103,4029182413,167.399993896484,55.9259114,37.812373860677,1
22,4,f4,956889,98916.0,34.87,29.9375,1.06000006198883,0.0360000021755695,-0.0560000017285347,601,112,4029182413,167.199996948242,55.9259114,37.81237792968,1
23,4,f4,957905,98919.0,34.85,29.9375,1.05200004577637,0.0120000001043081,-0.0800000056624413,601,112,4029182413,166.800003051758,55.9259114,37.812373860677,1
24,4,f4,958920,98913.0,34.81,29.9375,1.05599999427795,0.00400000018998981,-0.0600000023841858,601,112,4029182413,167.0,55.92591959635,37.81237792968,1
25,4,f4,959936,98924.0,34.83,29.9375,1.07200002670288,0.0160000007599592,-0.0480000004172325,601,112,4029182413,166.0,55.92591959635,37.8123697,1
26,4,f4,960950,98921.0,34.88,30.0,1.06800007820129,0.0,-0.0320000015199184,601,112,4029182413,165.600006103516,55.92591959635,37.8123697,1
27,4,f4,961961,98923.0,34.86,30.0625,1.07600009441376,0.00400000018998981,-0.0560000017285347,601,112,4029182413,165.600006103516,55.92591959635,37.8123697,1
28,4,f4,962977,98919.0,34.86,30.0625,1.04000008106232,0.0280000008642673,-0.140000000596046,601,103,4029182413,164.600006103516,55.9259114,37.81236165364,1
29,5,f4,979711,98917.0,35.04,30.6875,1.06000006198883,0.00800000037997961,-0.0280000008642673,601,103,4029182413,165.800003051758,55.92588704427,37.81236165364,1
30,5,f4,980727,98904.0,35.04,30.75,1.04800009727478,0.0320000015199184,-0.0120000001043081,601,103,4029182413,165.600006103516,55.92588704427,37.81236165364,1
31,5,f4,981741,98902.0,35.07,30.75,1.06000006198883,0.0400000028312206,-0.0560000017285347,601,103,4029182413,165.600006103516,55.92588704427,37.81236165364,1
32,5,f4,982757,98907.0,35.09,30.75,1.04000008106232,0.00800000037997961,-0.0480000004172325,601,103,4029182413,165.600006103516,55.92588704427,37.81236165364,1
33,5,f4,983773,98902.0,35.01,30.8125,1.08800005912781,-0.0160000007599592,-0.0200000014156103,601,103,4029182413,165.600006103516,55.0,37.81236165364,1
