id,sdr_reference,imei,session_status,momsn,mtmsn,time_of_session,indicator,latitude,longitude,cep_radius
53,2227671,333030323334303639313032303030,0,628,0,"2018-06-29 20:01:56.000000",0,55.0,37.0,4
54,2227695,333030323334303639313032303030,0,629,0,"2018-06-29 20:03:12.000000",0,55.0,37.0,3
55,2227700,333030323334303639313032303030,0,630,0,"2018-06-29 20:03:21.000000",0,55.0,37.0,3
56,2227712,333030323334303639313032303030,0,632,0,"2018-06-29 20:03:39.000000",0,55.0,37.0,3
57,2227725,333030323334303639313032303030,0,634,0,"2018-06-29 20:03:58.000000",0,55.0,37.0,3
58,2227736,333030323334303639313032303030,0,635,0,"2018-06-29 20:04:11.000000",0,55.0,37.0,3
59,2227805,333030323334303639313032303030,0,636,0,"2018-06-29 20:05:56.000000",0,55.0,37.0,4
60,2227807,333030323334303639313032303030,0,637,0,"2018-06-29 20:06:07.000000",0,55.0,37.0,4
61,2227814,333030323334303639313032303030,0,638,0,"2018-06-29 20:06:16.000000",0,55.0,37.0,4
62,2227819,333030323334303639313032303030,0,639,0,"2018-06-29 20:06:29.000000",0,55.0,37.0,4
63,2227827,333030323334303639313032303030,0,640,0,"2018-06-29 20:06:42.000000",0,55.0,37.0,2
64,2227833,333030323334303639313032303030,0,641,0,"2018-06-29 20:06:59.000000",0,55.0,37.0,4
65,2227842,333030323334303639313032303030,0,642,0,"2018-06-29 20:07:23.000000",0,55.0,37.0,5
66,2227945,333030323334303639313032303030,0,643,0,"2018-06-29 20:12:25.000000",0,55.0,37.0,3
67,2227951,333030323334303639313032303030,0,644,0,"2018-06-29 20:13:02.000000",0,55.0,37.0,3
68,2227957,333030323334303639313032303030,0,645,0,"2018-06-29 20:13:11.000000",0,55.0,37.0,3
69,2227959,333030323334303639313032303030,0,646,0,"2018-06-29 20:13:21.000000",0,55.0,37.0,3
70,2227961,333030323334303639313032303030,0,647,0,"2018-06-29 20:13:32.000000",0,55.0,37.0,3
71,2228043,333030323334303639313032303030,0,648,0,"2018-06-29 20:15:25.000000",0,55.0,37.0,4
72,2228048,333030323334303639313032303030,0,649,0,"2018-06-29 20:15:33.000000",0,55.0,37.0,4
73,2228057,333030323334303639313032303030,0,650,0,"2018-06-29 20:15:42.000000",0,55.0,37.0,4
74,2228077,333030323334303639313032303030,13,652,0,"2018-06-29 20:16:11.000000",0,55.0,37.0,4
75,2228229,333030323334303639313032303030,0,652,0,"2018-06-29 20:20:35.000000",0,55.0,37.0,4
76,2228241,333030323334303639313032303030,0,653,0,"2018-06-29 20:20:45.000000",0,55.0,37.0,4
77,2228243,333030323334303639313032303030,0,654,0,"2018-06-29 20:20:58.000000",0,55.0,37.0,4
78,2228252,333030323334303639313032303030,0,655,0,"2018-06-29 20:21:23.000000",0,55.0,37.0,4
79,2228253,333030323334303639313032303030,0,656,0,"2018-06-29 20:21:34.000000",0,55.0,37.0,4
80,2228259,333030323334303639313032303030,0,657,0,"2018-06-29 20:21:47.000000",0,55.0,37.0,3
81,2228261,333030323334303639313032303030,0,658,0,"2018-06-29 20:21:55.000000",0,55.0,37.0,3
82,2228263,333030323334303639313032303030,0,659,0,"2018-06-29 20:22:04.000000",0,55.0,37.0,3
83,2228270,333030323334303639313032303030,0,660,0,"2018-06-29 20:22:13.000000",0,55.0,37.0,3
84,2228279,333030323334303639313032303030,0,661,0,"2018-06-29 20:22:41.000000",0,55.0,37.0,3
85,2228281,333030323334303639313032303030,0,662,0,"2018-06-29 20:22:50.000000",0,55.0,37.0,3
86,2228318,333030323334303639313032303030,0,663,0,"2018-06-29 20:24:31.000000",0,55.0,37.0,3
87,2228323,333030323334303639313032303030,0,664,0,"2018-06-29 20:24:39.000000",0,55.0,37.0,3
